순번,RAPA식별코드,공사명,건물명/도로명,본부,시도,시군구,읍면동,주소,세대수,동수,관로동,위도,경도,폴리곤확보여부,단지건물수(폴리곤),건물데이터출처,도면보유여부,분석상태,종합커버리지(%),설치Site수,설치Sector수,분석소요시간(초),분석일시(KST),분석출처,특이사항/에러,사업년도,준공예정일,준공사
194,m-RAPA-2107-4650,더샵당리센트리체아파트,더샵당리센트리체아파트,동부,부산광역시,사하구,당리동,부산광역시 사하구 당리동 54,821,8,"102,103,105,107",35.10796641,128.9775405,확보,440,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-05-29,LGU+
195,m-RAPA-2302-0467,힐스테이트광주곤지암역아파트,힐스테이트광주곤지암역아파트,수도권,경기도,광주시,곤지암읍,경기도 광주시 곤지암읍 신대리 16 1,635,10,"101,103,106,109",37.3546266,127.3400351,확보,73,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-05-27,SKT
196,m-RAPA-2009-4716,의왕월암A1아파트,의왕월암A1아파트,수도권,경기도,의왕시,월암동,경기도 의왕시 월암동 41 2,674,8,"101,104,105,106",37.312495,126.961617,확보,12,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-05-23,LGU+
197,m-RAPA-2206-3599,경기도 오산시 원동 760-8번지 오피스텔 신축공사,오산 원동7구역 지역주택조합 아파트,수도권,경기도,오산시,원동,경기도 오산시 원동 760 8,33,1,1. 지상1층 : D.A 상부 인근,37.147176,127.0703311,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-05-20,RAPA
198,m-RAPA-1910-5654,대전성남우미린뉴시티,대전성남우미린뉴시티,중부,대전광역시,동구,성남동,대전광역시 동구 성남동 1 154,1213,9,"101,102,104",36.34541135,127.4371993,확보,918,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-05-19,LGU+
199,m-RAPA-2205-2673,동탄2신도시동탄역대방엘리움더시그니처아파트+오피스텔,동탄2신도시동탄역대방엘리움더시그니처아파트+오피스텔,수도권,경기도,화성시 동탄구,여울동,경기도 화성시 동탄구 여울동 1099,0,6,미지정,37.19233,127.090861,확보,25,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-05-19,-
200,m-RAPA-2110-6146,횡성우천2 행복주택  건설공사,횡성우천2 행복주택,수도권,강원특별자치도,횡성군,우천면,강원특별자치도 횡성군 우천면 양적리 54 2,80,2,1. 지상1층 : D.A 상부 인근외벽,37.46023117,128.0602053,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-05-17,RAPA
201,m-RAPA-2205-3222,여주역자이헤리티지아파트,여주역자이헤리티지아파트,수도권,경기도,여주시,교동,경기도 여주시 교동 500 118,771,8,"102,104,106,108",37.27656743,127.6283085,확보,43,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-05-13,SKT
202,m-RAPA-2111-7256,e편한세상여수글렌츠아파트,e편한세상여수글렌츠아파트,서부,전남광주통합특별시,여수시,신기동,전남광주통합특별시 여수시 신기동 3,1365,15,"101,102,103,104,105,000,000,000",34.7649923,127.6771988,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-05-13,-
203,m-RAPA-2203-1640,부산 거제동 업무시설 신축공사,거제동 데시앙,동부,부산광역시,연제구,거제동,부산광역시 연제구 거제동 1498 1,0,1,1.지상1층: 계단실 인근 건축물 외벽(도로향),35.19010848,129.0729139,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-05-11,RAPA
204,m-RAPA-2211-6298,부산장안지구 중흥S-클래스_아파트,부산장안지구 중흥S-클래스_아파트,동부,부산광역시,기장군,장안읍,부산광역시 기장군 장안읍 좌동리 부산장안지구 택지개발사업 B-2,514,9,"602,603,604,607,609",35.320282,129.240062,확보,82,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-05-05,KT
205,m-RAPA-2207-4073,행정중심복합도시 6-3 L2BL 공동주택 건설공사,행정중심복합도시 6-3 L2BL 공공주택,중부,세종특별자치시,세종,산울동,세종특별자치시 세종 산울동 행정중심복합도시건설사업 6-3생활권 L2,500,8,"201,202,203,204,206,000",36.5277369,127.2564895,미확보,0,error,미보유,경고 (WARN),0.0,0,0,1,2026-08-17 22:14:25,배치(자동),커버리지 0% (배치 대상 베란다/후보점 부재 또는 목표 커버리지 미도달),2027,2027-05-03,LGU+
206,m-RAPA-2212-7048,부산광역시 연제구 거제동 714-16번지 공공지원민간임대주택 신축공사,부산 연제 거제 공공지원 민간임대주택,동부,부산광역시,연제구,거제동,부산광역시 연제구 거제동 714 16,90,1,미지정,35.17870349,129.0656405,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-04-30,RAPA
207,m-RAPA-2101-0094,동해천곡 고령자주택 건설공사,동해천곡 고령자복지주택,수도권,강원특별자치도,동해시,천곡동,강원특별자치도 동해시 천곡동 6,402,4,1. 지상1층 : D.A 외벽,37.51426146,129.1214703,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-04-30,RAPA
208,m-RAPA-2010-5592,계룡펠리피아아파트,계룡펠리피아아파트,중부,충청남도,계룡시,엄사면,충청남도 계룡시 엄사면 엄사리 234,823,7,"103,105,106",36.28444937,127.2338854,확보,83,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-04-29,SKT
209,m-RAPA-2102-0725,검단신도시AB21-2블록아파트,검단신도시AB21-2블록아파트,수도권,인천광역시,검단구,불로동,인천광역시 검단구 불로동 인천검단지구 택지개발사업 AB21-2,918,9,"101,102,106,109",37.609551,126.680451,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-04-29,LGU+
210,m-RAPA-2201-0323,천안시 성정동 공공민간임대주택 신축공사,천안시 성정동 공공지원 임대주택,중부,충청남도,천안시 서북구,성정동,충청남도 천안시 서북구 성정동 1425,0,1,미지정,36.82600537,127.1440578,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-04-29,-
211,m-RAPA-2208-4482,송도자이풍경채그라노블2단지아파트,송도자이풍경채그라노블2단지아파트,수도권,인천광역시,연수구,송도동,인천광역시 연수구 송도동 552,548,7,"1,201,120,212,031,200",37.378781,126.680844,확보,28,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-04-29,KT
212,m-RAPA-2208-4530,송도자이풍경채그라노블1단지아파트,송도자이풍경채그라노블1단지아파트,수도권,인천광역시,연수구,송도동,인천광역시 연수구 송도동 551 1,469,6,미지정,37.377156,126.679281,확보,33,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-04-29,LGU+
213,m-RAPA-2303-0848,이천자이더레브아파트,이천자이더레브아파트,수도권,경기도,이천시,송정동,경기도 이천시 송정동 31,635,7,"101,102,105,107",37.29469567,127.4370117,확보,177,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-04-29,LGU+
214,m-RAPA-2307-2735,휴먼빌일산클래스원아파트,휴먼빌일산클래스원아파트,수도권,경기도,고양시 일산동구,식사동,경기도 고양시 일산동구 식사동 고양 풍동2지구 3블럭 도시개발사업 공동주택2,529,4,"201,202,203,204",37.66942265,126.8050163,확보,73,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-04-29,LGU+
215,m-RAPA-2309-3449,고양장항아테라아파트,고양장항아테라아파트,수도권,경기도,고양시 일산동구,장항동,경기도 고양시 일산동구 장항동 고양장항 공공주택지구 B-3,760,8,"301,302,304,306,308",37.647882,126.759628,확보,35,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-04-29,LGU+
216,m-KT-2511-1381,갈현동 지식정보타운 S2블록 과천디에트르퍼스티지아파트,과천 디에트르 퍼스티지,수도권,경기도,과천시,갈현동,경기도 과천시 갈현동 822,740,0,미지정,-,-,미확보,0,,미보유,미분석,,,,,,,,2027,2027-04-29,SKT
217,m-RAPA-2307-2632,사하구 장림동 의료시설,장림 두산위브더제니스 센트럴사하,동부,부산광역시,사하구,장림동,부산광역시 사하구 장림동 282,0,1,미지정,35.07678434,128.9766641,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-04-29,RAPA
218,m-RAPA-2503-0787,전주시 덕진구 호성동 2가 공동 주택(연립 주택) 신축공사,전주에코시티더클래스,서부,전북특별자치도,전주시 덕진구,호성동2가,전북특별자치도 전주시 덕진구 호성동2가 801 31,44,4,미지정,35.87746101,127.1421582,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-04-29,RAPA
219,m-RAPA-2205-2627,김해삼계푸르지오센트럴파크,김해삼계푸르지오센트럴파크,동부,경상남도,김해시,삼계동,경상남도 김해시 삼계동 1027 3,630,6,"101,102,105",35.27532258,128.8615856,확보,45,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-04-28,KT
220,m-RAPA-2106-3853,부산에코델타시티디에트르그랑루체아파트,부산에코델타시티디에트르그랑루체아파트,동부,부산광역시,강서구,강동동,부산광역시 강서구 강동동 부산 에코델타시티 친수구역,1470,27,"201,202,203,204,207,000,000,000,000,000,000,000,000,000,000,000",35.15780734,128.9173637,확보,31,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-04-23,LGU+
221,m-RAPA-1908-4373,평택고덕 신도시 A-43블록 공동주택 건설공사,호반써밋 고덕신도시 2차,수도권,경기도,평택시,고덕동,경기도 평택시 고덕동 고덕 국제화계획지구 및 택지개발지구 A-43,766,7,"301,305",37.03712468,127.0307388,확보,90,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-04-22,LGU+
222,m-RAPA-2211-6215,고덕국제신도시서한이다음그레이튼아파트,고덕국제신도시서한이다음그레이튼아파트,수도권,경기도,평택시,고덕동,경기도 평택시 고덕동 2394 2,1138,11,"15,021,504,150,615,000,000",37.05739278,127.0413162,확보,41,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-04-22,LGU+
223,m-RAPA-2308-2764,홍천 북방지구 공공임대주택,홍천 북방지구 강원형 공공임대주택,수도권,강원특별자치도,홍천군,북방면,강원특별자치도 홍천군 북방면 하화계리 27 14,80,1,1. 지상1층: D.A 상부 외벽,37.69042718,127.8685582,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-04-21,RAPA
224,m-RAPA-2202-0851,영종진아레히아파트,영종진아레히아파트,수도권,인천광역시,영종구,운남동,인천광역시 영종구 운남동 1654 1,547,7,"552,554,557",37.483948,126.528106,확보,27,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-04-08,KT
225,m-RAPA-1911-5808,쌍용더플래티넘네이처,쌍용더플래티넘네이처,중부,대전광역시,대덕구,읍내동,대전광역시 대덕구 읍내동 51 18,761,11,"102,103,107,109,111",36.37700445,127.4252624,확보,103,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-04-08,LGU+
226,m-RAPA-2307-2703,과천디에트르퍼스티지아파트,과천디에트르퍼스티지아파트,수도권,경기도,과천시,문원동,경기도 과천시 문원동 과천지식정보타운 공공주택지구 S2,740,6,"203,204,205,206",37.416389,126.98898,확보,52,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-04-08,-
227,m-RAPA-2301-0161,봉산공원첨단제일풍경채,봉산공원첨단제일풍경채,서부,전남광주통합특별시,광산구,산월동,전남광주통합특별시 광산구 산월동 22,948,10,"104,105,106,107",35.20367394,126.8448081,확보,83,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-04-08,-
228,m-RAPA-2012-6898,더샵분당센트로아파트,더샵분당센트로아파트,수도권,경기도,성남시 분당구,구미동,경기도 성남시 분당구 구미동 220,647,7,"401,405",37.33929313,127.1169239,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-04-02,LGU+
229,m-RAPA-2106-3833,경북청도 행복주택 및 생활혁신센터 건설공사,경북청도 행복주택,동부,경상북도,청도군,청도읍,경상북도 청도군 청도읍 고수리 498,42,1,1. 지상1층 : D.A 상부 인근,35.64543155,128.7412663,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-03-31,RAPA
230,m-RAPA-2206-3734,서초구 양재동 1-26번지 역세권 청년주택,서초구 양재동 1-26번지 역세권 청년주택,수도권,서울특별시,서초구,양재동,서울특별시 서초구 양재동 1 26,342,1,미지정,37.48486513,127.0391139,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-03-31,LGU+
231,m-RAPA-2402-0382,대구국가산단 A7-1BL 행복주택 건설공사,대구국가산단A7-1BL 행복주택,동부,대구광역시,달성군,구지면,대구광역시 달성군 구지면 대암리 대구국가산업단지 A7-1BL,448,3,미지정,35.62525678,128.4029251,미확보,0,error,미보유,완료 (OK),79.3,2,4,3,2026-08-17 22:17:33,화면(수동),,2027,2027-03-31,RAPA
232,m-RAPA-2507-1826,경기도 부천시 소사구 소사본동 82-1 외 2필지 (82-2 82-15) 공동주택 신축공사,-,수도권,경기도,부천시 소사구,소사본동,경기도 부천시 소사구 소사본동 82 1,43,1,1. 지상1층 : D.A 상부 인근외벽,37.47929861,126.7952024,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-03-31,RAPA
233,m-RAPA-2405-1516,익산 부송4지구 A블럭 민간참여 공공주택 건설사업,익산 부송4지구 A블록 공공임대아파트,서부,전북특별자치도,익산시,부송동,전북특별자치도 익산시 부송동 293 2,300,4,미지정,35.96597522,126.9927771,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-03-30,-
234,m-RAPA-1901-0209,힐스테이트가장더퍼스트아파트,힐스테이트가장더퍼스트아파트,중부,대전광역시,서구,가장동,대전광역시 서구 가장동 38 1,1779,15,"104,106,109,113,115",36.32945081,127.3850095,확보,519,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-03-30,SKT
235,m-RAPA-2106-3695,더샵시에르네,더샵시에르네,동부,울산광역시,중구,학성동,울산광역시 중구 학성동 397 1,788,13,"102,104,107,109,112",35.55922338,129.3322252,확보,280,complex_polygon+buffer0.0015,미보유,완료 (OK),60.1,2,5,214,2026-09-07 05:35:28,배치(자동),,2027,2027-03-30,SKT
236,m-RAPA-2112-8222,일광노르웨이숲오션포레,일광노르웨이숲오션포레,동부,부산광역시,기장군,일광읍,부산광역시 기장군 일광읍 이천리 720 2,1294,11,"101,102,104,106,109,000",35.27085697,129.2275989,확보,87,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-03-30,KT
237,m-RAPA-2509-2393,화성시 향남읍 상신리 61-8번지(상신2지구) 공동주택 신축공사,화성 상신2지구 공동주택,수도권,경기도,화성시 만세구,향남읍,경기도 화성시 만세구 향남읍 상신리 61 8,75,2,1. 지상1층 : D.A 상부 인근,37.11167093,126.9012782,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-03-30,RAPA
238,m-RAPA-2105-3094,평창동 주거복합단지 신축공사,평창동 주거복합단지,수도권,서울특별시,종로구,평창동,서울특별시 종로구 평창동 113 1,201,1,미지정,37.61105974,126.9770178,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-03-30,RAPA
239,m-RAPA-2004-1607,도마포레나해모로,도마포레나해모로,중부,대전광역시,서구,도마동,대전광역시 서구 도마동 181 1,818,7,"103,105,107",36.31133098,127.3812961,확보,153,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-03-30,LGU+
240,m-LG-2604-0376,두산위브더제니스센트럴용인아파트,두산위브더제니스센트럴용인아파트,수도권,경기도,용인시 처인구,삼가동,경기도 용인시 처인구 삼가동 174,568,7,미지정,-,-,미확보,0,,미보유,미분석,,,,,,,,2027,2027-03-30,LGU+
241,m-RAPA-1805-04-02-2732,양정롯데캐슬프론티엘아파트,양정롯데캐슬프론티엘아파트,동부,부산광역시,부산진구,양정동,부산광역시 부산진구 양정동 64 3,903,10,"102,103,105,204",35.17280242,129.0738966,확보,458,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-03-30,LGU+
242,m-RAPA-2012-6980,함평군 함평읍 기각지구 1-6BL 아파트 신축공사,함평 서현 수와일 리버파크,서부,전남광주통합특별시,함평군,함평읍,전남광주통합특별시 함평군 함평읍 기각리 198,160,3,미지정,35.06216661,126.5265123,확보,47,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-03-29,RAPA
243,m-RAPA-2211-6460,제천 채움하우스 임대주택 건설공사,제천 채움하우스,중부,충청북도,제천시,영천동,충청북도 제천시 영천동 1383 2,50,2,1. 지상1층: D.A 상부 외벽,37.12715294,128.2085063,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-03-20,RAPA
244,m-RAPA-2207-4386,운암산공원우미린리버포레,운암산공원우미린리버포레,서부,전남광주통합특별시,북구,동림동,전남광주통합특별시 북구 동림동 76,734,6,"103,105",35.18102744,126.8635366,확보,49,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-03-14,-
245,m-RAPA-2204-1897,춘천아테라에듀파크,춘천아테라에듀파크,수도권,강원특별자치도,춘천시,동면,강원특별자치도 춘천시 동면 만천리 770 6,477,4,미지정,37.88541777,127.7576643,확보,114,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-03-14,LGU+
246,m-RAPA-2109-5838,양평하늘채센트로힐스아파트,양평하늘채센트로힐스아파트,수도권,경기도,양평군,양평읍,경기도 양평군 양평읍 덕평리 661 7,539,7,"102,105,107",37.50070058,127.4810555,확보,35,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-03-14,KT
247,m-RAPA-2211-6571,제일풍경채운정아파트,제일풍경채운정아파트,수도권,경기도,파주시,동패동,경기도 파주시 동패동 2276,520,11,"803,806,808,810,811",37.72196,126.730494,확보,42,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-03-11,LGU+
248,m-RAPA-2304-1421,제주중부공원제일풍경채센트럴파크,제주중부공원제일풍경채센트럴파크,서부,제주특별자치도,제주시,건입동,제주특별자치도 제주시 건입동 167,728,12,"103,108,109",33.507773,126.548273,확보,41,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-03-11,-
249,m-RAPA-2208-4590,남양주왕숙 B2BL 공동주택 건설공사,남양주왕숙 B-2BL 공동주택,수도권,경기도,남양주시,진접읍,경기도 남양주시 진접읍 연평리 남양주왕숙 공공주택지구 B2,587,10,"201,203,205,207,209",37.68487466,127.1716445,확보,57,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-03-11,KT
250,m-RAPA-2404-0904,군산시 조촌동 770번지 일원 공동주택 신축공사,-,서부,전북특별자치도,군산시,조촌동,전북특별자치도 군산시 조촌동 770,176,2,미지정,35.96364872,126.7376922,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-03-09,-
251,m-RAPA-2302-0494,대명아파트 가로주택정비사업,-,수도권,서울특별시,강동구,암사동,서울특별시 강동구 암사동 447 8,94,1,1.지상1층: 지하주차장 환기부 인근 건축물 외벽(도로향),37.55525839,127.1357616,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-03-06,LGU+
252,m-RAPA-2110-6180,경기도 의정부시 녹양동 일원 의정부우정 공공주택지구 A2BL,의정부우정A2블록,수도권,경기도,의정부시,녹양동,경기도 의정부시 녹양동 의정부우정 공공주택지구 A2,463,6,미지정,37.76196526,127.0319807,확보,99,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-02-28,RAPA
253,m-RAPA-2006-2744,나주영산윤슬의아침더정원아파트,나주영산윤슬의아침더정원아파트,서부,전남광주통합특별시,나주시,이창동,전남광주통합특별시 나주시 이창동 714,302,4,미지정,34.99507747,126.7033603,확보,64,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-02-28,-
254,m-SK-2605-0549,창경궁롯데캐슬시그니처,-,수도권,서울특별시,성북구,삼선동2가,서울특별시 성북구 삼선동2가 296,1223,19,미지정,-,-,미확보,0,,미보유,미분석,,,,,,,,2027,2027-02-27,-
255,m-KT-2606-0624,푸르지오라디우스파크아파트,푸르지오라디우스파크아파트,수도권,서울특별시,성북구,장위동,서울특별시 성북구 장위동 25 55,1637,15,미지정,-,-,미확보,0,,미보유,미분석,,,,,,,,2027,2027-02-27,KT
256,m-KT-2605-0576,성동자이리버뷰아파트,성동자이리버뷰아파트,수도권,서울특별시,성동구,용답동,서울특별시 성동구 용답동 108 1,1670,14,미지정,-,-,미확보,0,,미보유,미분석,,,,,,,,2027,2027-02-27,KT
257,m-RAPA-2307-2403,영통자이센트럴파크아파트,영통자이센트럴파크아파트,수도권,경기도,수원시 영통구,영통동,경기도 수원시 영통구 영통동 961 11,580,7,"102,105,107",37.254307,127.068014,확보,34,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-02-27,SKT
258,m-RAPA-2304-1364,안성당왕경남아너스빌하이스트_아파트,안성당왕경남아너스빌하이스트_아파트,수도권,경기도,안성시,신소현동,경기도 안성시 신소현동 안성(당왕지구) 도시관리계획 1,976,12,"104,106,108,110,112",37.020481,127.257844,확보,104,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-02-27,LGU+
259,m-RAPA-2209-5389,수원 팔달구 인계동 공공지원임대주택 신축공사,수원 인계동 공공지원 임대주택,수도권,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 인계동 754 1,216,3,미지정,37.27443328,127.021141,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-02-27,LGU+
