본부,사업년도,RAPA식별코드,공사명,건물명/도로명,건물명 출처,유형,주용도,공사구분,시도,시군구,읍면동,번,지,리,시도_보정,시군구_보정,읍면동_보정,리_보정,번_보정,지_보정,대지구분,대지면적,연면적(지상),연면적(지하),연면적(합계),지상층수,지하층수,동,세대수,EV 설치 예상 대수,주차대수,세대당주차대수,도로구간(m),준공예정일,수정 준공예정일,입주자사전점검일,준공사,주소,공동망,관로동,위도,경도,RAPA등록_검증,준공예정일_검증,동수_검증,층수_검증,위경도_검증,최종검증결과
수도권,2027,m-RAPA-2407-1956,원종휴먼빌클라츠아파트,원종휴먼빌클라츠아파트,APT,아파트,공동주택,건물,경기도,부천시 오정구,원종동,부천원종 공공주택지구,B1,-,-,-,-,-,-,-,블록,-,21097.9595,14101.1714,35199.1309,15,2,4,255,8,-,1.3,-,2027-05-30,-,2027-04-14,KT,경기도 부천시 오정구 원종동 부천원종 공공주택지구 B1,미등록,해당없음,37.53114539,126.8008683,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2007-3415,'20 군관사 위탁개발사업 (대방),서울대방 신혼희망타운,APT,500세대 미만,-,-,서울특별시,영등포구,신길동,1286,-,-,-,-,-,-,-,-,대지,-,27757.25,14192.52,41949.77,29,3,3,283,6,-,1.3,-,2027-05-30,-,2027-06-14,RAPA,서울특별시 영등포구 신길동 1286,미등록,해당사항없음,37.51171227,126.9241173,등록,-,-,-,-,미검증
동부,2027,m-RAPA-2107-4650,더샵당리센트리체아파트,더샵당리센트리체아파트,APT,아파트,공동주택,건물,부산광역시,사하구,당리동,54,-,-,-,-,-,-,-,-,대지,-,84915.5929,50900.2109,135815.8038,29,4,8,821,16,987,1.2,-,2027-05-29,-,2027-03-26,LGU+,부산광역시 사하구 당리동 54,단독,"102,103,105,107",35.10796641,128.9775405,등록,상이(웹검색결과: 2027.07),동일,동일,동일,준공예정일 확인 필요
수도권,2027,m-RAPA-2302-0467,힐스테이트광주곤지암역아파트,힐스테이트광주곤지암역아파트,APT,아파트,공동주택,건물,경기도,광주시,곤지암읍,16,1,신대리,-,-,-,-,-,-,대지,-,73112.3574,40038.0859,113150.4433,22,2,10,635,20,953,1.5,-,2027-05-27,-,2027-04-11,SKT,경기도 광주시 곤지암읍 신대리 16 1,SKT,"101,103,106,109",37.3546266,127.3400351,등록,동일,동일,동일,동일,정상
수도권,2027,m-RAPA-2009-4716,의왕월암A1아파트,의왕월암A1아파트,APT,아파트,공동주택,건물,경기도,의왕시,월암동,41,2,-,-,-,-,-,-,-,대지,-,55843.37,31786.46,87629.83,29,2,8,674,16,-,1.3,-,2027-05-23,-,2027-04-07,LGU+,경기도 의왕시 월암동 41 2,미등록,"101,104,105,106",37.312495,126.961617,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2206-3599,경기도 오산시 원동 760-8번지 오피스텔 신축공사,오산 원동7구역 지역주택조합 아파트,APT,일반,-,-,경기도,오산시,원동,760,8,-,-,-,-,-,-,-,대지,-,3784.215,1096.283,4880.498,13,2,1,33,2,-,1.3,-,2027-05-20,-,2027-04-05,RAPA,경기도 오산시 원동 760 8,미등록,1. 지상1층 : D.A 상부 인근,37.147176,127.0703311,등록,-,-,-,-,미검증
중부,2027,m-RAPA-1910-5654,대전성남우미린뉴시티,대전성남우미린뉴시티,APT,아파트,공동주택,건물,대전광역시,동구,성남동,1,154,-,-,-,-,-,-,-,대지,-,144848.4561,49121.6139,193970.07,34,2,9,1213,18,0,1.3,-,2027-05-19,-,2027-04-03,LGU+,대전광역시 동구 성남동 1 154,단독,"101,102,104",36.34541135,127.4371993,등록,상이(웹검색결과: 2027.06),동일,동일,동일,준공예정일 확인 필요
수도권,2027,m-RAPA-2205-2673,동탄2신도시동탄역대방엘리움더시그니처아파트+오피스텔,동탄2신도시동탄역대방엘리움더시그니처아파트+오피스텔,APT,아파트,공동주택,건물,경기도,화성시 동탄구,여울동,1099,-,-,-,-,-,-,-,-,대지,-,58963.2566,33647.174,92610.4306,29,3,6,0,12,-,1.3,-,2027-05-19,-,2027-04-03,-,경기도 화성시 동탄구 여울동 1099,미등록,해당없음,37.19233,127.090861,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2110-6146,횡성우천2 행복주택  건설공사,횡성우천2 행복주택,APT,500세대 미만,-,-,강원특별자치도,횡성군,우천면,54,2,양적리,-,-,-,-,-,-,대지,-,4642.61,931.6,5574.21,8,1,2,80,4,-,1.3,-,2027-05-17,-,2027-05-30,RAPA,강원특별자치도 횡성군 우천면 양적리 54 2,LGU+,1. 지상1층 : D.A 상부 인근외벽,37.46023117,128.0602053,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2205-3222,여주역자이헤리티지아파트,여주역자이헤리티지아파트,APT,아파트,공동주택,건물,경기도,여주시,교동,500,118,-,-,-,-,-,-,-,대지,-,82528.3569,36867.5017,119395.8586,27,2,8,771,16,-,1.3,-,2027-05-13,-,2027-03-29,SKT,경기도 여주시 교동 500 118,미등록,"102,104,106,108",37.27656743,127.6283085,등록,-,-,-,-,미검증
서부,2027,m-RAPA-2111-7256,e편한세상여수글렌츠아파트,e편한세상여수글렌츠아파트,APT,아파트,공동주택,건물,전남광주통합특별시,여수시,신기동,3,-,-,-,-,-,-,-,-,대지,-,161110.9771,69619.2117,230730.1888,28,4,15,1365,30,-,1.3,-,2027-05-13,-,2027-03-11,-,전남광주통합특별시 여수시 신기동 3,미등록,"101,102,103,104,105,000,000,000",34.7649923,127.6771988,등록,-,-,-,-,미검증
동부,2027,m-RAPA-2203-1640,부산 거제동 업무시설 신축공사,거제동 데시앙,APT,일반,-,-,부산광역시,연제구,거제동,1498,1,-,-,-,-,-,-,-,대지,-,4575.69,1989.99,6565.68,14,3,1,0,2,-,1.3,-,2027-05-11,-,2027-03-27,RAPA,부산광역시 연제구 거제동 1498 1,미등록,1.지상1층: 계단실 인근 건축물 외벽(도로향),35.19010848,129.0729139,등록,-,-,-,-,미검증
동부,2027,m-RAPA-2211-6298,부산장안지구 중흥S-클래스_아파트,부산장안지구 중흥S-클래스_아파트,APT,아파트,공동주택,건물,부산광역시,기장군,장안읍,부산장안지구 택지개발사업,B-2,좌동리,부산광역시,기장군,장안읍,좌동리,463,3,블록,-,52197.3859,31305.387,83502.7729,25,2,9,514,18,-,1.3,-,2027-05-05,-,2027-03-20,KT,부산광역시 기장군 장안읍 좌동리 부산장안지구 택지개발사업 B-2,단독,"602,603,604,607,609",35.320282,129.240062,등록,-,-,-,-,미검증
중부,2027,m-RAPA-2207-4073,행정중심복합도시 6-3 L2BL 공동주택 건설공사,행정중심복합도시 6-3 L2BL 공공주택,APT,아파트,공동주택,건물,세종특별자치시,세종,산울동,행정중심복합도시건설사업,6-3생활권 L2,-,-,-,-,-,-,-,블록,-,28049.99,13762.04,41812.03,17,1,8,500,16,-,1.3,-,2027-05-03,-,2027-03-18,LGU+,세종특별자치시 세종 산울동 행정중심복합도시건설사업 6-3생활권 L2,미등록,"201,202,203,204,206,000",36.5277369,127.2564895,등록,-,-,-,-,미검증
동부,2027,m-RAPA-2212-7048,부산광역시 연제구 거제동 714-16번지 공공지원민간임대주택 신축공사,부산 연제 거제 공공지원 민간임대주택,APT,500세대 미만,-,-,부산광역시,연제구,거제동,714,16,-,-,-,-,-,-,-,대지,-,10655.68,6116.58,16772.26,14,2,1,90,2,-,1.3,-,2027-04-30,-,2027-03-15,RAPA,부산광역시 연제구 거제동 714 16,미등록,해당사항없음,35.17870349,129.0656405,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2101-0094,동해천곡 고령자주택 건설공사,동해천곡 고령자복지주택,APT,500세대 미만,-,-,강원특별자치도,동해시,천곡동,6,-,-,-,-,-,-,-,-,산,-,21009.64,3954.3,24963.94,15,1,4,402,8,-,1.3,-,2027-04-30,-,2027-03-15,RAPA,강원특별자치도 동해시 천곡동 6,단독,1. 지상1층 : D.A 외벽,37.51426146,129.1214703,등록,-,-,-,-,미검증
중부,2027,m-RAPA-2010-5592,계룡펠리피아아파트,계룡펠리피아아파트,APT,아파트,공동주택,건물,충청남도,계룡시,엄사면,234,-,엄사리,-,-,-,-,-,-,대지,-,90399.0207,46142.3646,136541.3853,27,2,7,823,14,-,1.3,-,2027-04-29,-,2027-03-14,SKT,충청남도 계룡시 엄사면 엄사리 234,SKT,"103,105,106",36.28444937,127.2338854,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2102-0725,검단신도시AB21-2블록아파트,검단신도시AB21-2블록아파트,APT,아파트,공동주택,건물,인천광역시,검단구,불로동,인천검단지구 택지개발사업,AB21-2,-,-,-,-,-,-,-,블록,-,81559.9,42139.8,123699.7,25,2,9,918,18,-,1.3,-,2027-04-29,-,2027-03-14,LGU+,인천광역시 검단구 불로동 인천검단지구 택지개발사업 AB21-2,미등록,"101,102,106,109",37.609551,126.680451,등록,-,-,-,-,미검증
중부,2027,m-RAPA-2201-0323,천안시 성정동 공공민간임대주택 신축공사,천안시 성정동 공공지원 임대주택,APT,아파트,공동주택,건물,충청남도,천안시 서북구,성정동,1425,-,-,-,-,-,-,-,-,대지,-,27583.137,21204.955,48788.092,15,7,1,0,2,-,1.3,-,2027-04-29,-,2027-03-14,-,충청남도 천안시 서북구 성정동 1425,미등록,해당없음,36.82600537,127.1440578,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2208-4482,송도자이풍경채그라노블2단지아파트,송도자이풍경채그라노블2단지아파트,APT,아파트,공동주택,건물,인천광역시,연수구,송도동,552,-,-,-,-,-,-,-,-,대지,-,65064.718,31468.2037,96532.9217,29,1,7,548,14,-,1.3,-,2027-04-29,-,2027-03-14,KT,인천광역시 연수구 송도동 552,미등록,"1,201,120,212,031,200",37.378781,126.680844,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2208-4530,송도자이풍경채그라노블1단지아파트,송도자이풍경채그라노블1단지아파트,APT,아파트,공동주택,건물,인천광역시,연수구,송도동,551,1,-,-,-,-,-,-,-,대지,-,56494.8445,27558.4214,84053.2659,29,1,6,469,12,-,1.3,-,2027-04-29,-,2027-03-14,LGU+,인천광역시 연수구 송도동 551 1,미등록,해당없음,37.377156,126.679281,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2303-0848,이천자이더레브아파트,이천자이더레브아파트,APT,아파트,공동주택,건물,경기도,이천시,송정동,31,-,-,-,-,-,-,-,-,산,-,74275.8799,47475.0869,121750.9668,25,4,7,635,14,-,1.3,-,2027-04-29,-,2027-03-14,LGU+,경기도 이천시 송정동 31,미등록,"101,102,105,107",37.29469567,127.4370117,등록,-,-,-,-,미검증
